"","price","lotsize","bedrooms","bathrms","stories","driveway","recroom","fullbase","gashw","airco","garagepl","prefarea","u2","u"
"1",42000,5850,3,1,2,1,0,1,0,0,1,0,552477639.825501,-23504.8429015278
"2",38500,4000,2,1,1,1,0,0,0,0,0,0,278611464.175133,-16691.6585208041
"3",49500,3060,3,1,1,1,0,0,0,0,0,0,203803.415563504,-451.445916543172
"4",60500,6650,3,1,2,1,1,0,0,0,0,0,89578621.1584905,-9464.5983094102
"5",61000,6360,2,1,1,1,0,0,0,0,0,0,53992177.774659,-7347.93697405326
"6",66000,4160,3,1,1,1,1,1,0,1,0,0,98334798.5180113,9916.39039762006
"7",66000,3880,3,2,2,1,0,1,0,0,2,0,128463049.789368,-11334.1541276519
"8",69000,4160,3,1,3,1,0,0,0,0,0,0,166833140.903732,12916.3903976201
"9",83800,4800,3,1,1,1,1,1,0,0,0,0,583154209.243713,24148.5860713151
"10",88500,5500,3,2,4,1,1,0,0,1,1,0,4557546.82705613,2134.84117138867
"11",90000,7200,3,2,1,1,0,1,0,1,3,0,34130588.917414,-5842.1390703589
"12",30500,3000,2,1,1,0,0,0,0,0,0,0,365458322.554523,-19116.9642609522
"13",27000,1700,3,1,2,1,0,0,0,0,0,0,236232649.388605,-15369.8617231452
"14",36000,2880,3,1,1,0,0,0,0,0,0,0,167650728.595245,-12948.00094977
"15",37000,3600,2,1,1,1,0,0,0,0,0,0,254778446.845579,-15961.7808168631
"16",37900,3185,2,1,1,1,0,0,0,1,0,0,162518711.774253,-12748.2826990247
"17",40500,3300,3,1,2,0,0,0,0,0,1,0,116410559.783334,-10789.3725389076
"18",40750,5200,4,1,3,1,0,0,0,0,0,0,446531486.063069,-21131.2916326255
"19",45000,3450,1,1,1,1,0,0,0,0,0,0,50773842.9924239,-7125.57667788537
"20",45000,3986,2,2,1,0,1,1,0,0,1,0,1084060347.71421,-32925.0717191962
"21",48500,4785,3,1,2,1,1,1,0,1,1,0,122496053.285964,-11067.7935147871
"22",65900,4510,4,2,2,1,0,1,0,0,0,0,223389238.542261,-14946.2115113583
